250.000000	-3.20	30.33	0.93
251.953125	-2.92	30.76	0.97
253.906250	-2.61	31.04	0.97
255.859375	-2.30	31.22	0.97
257.812500	-1.97	31.27	0.99
259.765625	-1.65	31.16	0.98
261.718750	-1.34	30.92	0.97
263.671875	-1.06	30.52	0.98
265.625000	-0.83	29.98	0.99
267.578125	-0.67	29.34	0.98
269.531250	-0.59	28.66	0.99
271.484375	-0.58	28.04	0.99
273.437500	-0.64	27.48	0.99
275.390625	-0.74	27.06	0.97
277.343750	-0.89	26.67	0.97
281.250000	-0.96	26.44	0.92
285.156250	-0.88	25.92	0.95
289.062500	-0.79	25.18	0.97
292.968750	-0.89	24.47	0.98
296.875000	-1.09	23.95	0.97
300.781250	-1.38	23.61	0.93
304.687500	-1.52	23.58	0.93
308.593750	-1.53	23.54	0.97
312.500000	-1.54	23.37	0.96
316.406250	-1.62	23.17	0.97
320.312500	-1.80	23.11	0.97
324.218750	-2.01	23.21	0.96
328.125000	-2.23	23.49	0.90
332.031250	-2.43	24.08	0.65
335.937500	-2.46	24.78	0.65
339.843750	-2.21	25.37	0.85
343.750000	-1.97	25.73	0.96
347.656250	-1.83	25.85	0.96
351.562500	-1.70	25.95	0.94
355.468750	-1.51	26.03	0.96
359.375000	-1.23	25.92	0.96
363.281250	-1.00	25.54	0.97
367.187500	-0.88	25.04	0.95
371.093750	-0.91	24.60	0.94
375.000000	-0.93	24.35	0.93
378.906250	-0.84	24.18	0.96
382.812500	-0.68	23.95	0.97
386.718750	-0.44	23.55	0.92
390.625000	-0.25	22.90	0.94
394.531250	-0.16	22.31	0.96
398.437500	-0.06	21.82	0.97
402.343750	0.11	21.30	0.90
406.250000	0.25	20.61	0.95
410.156250	0.32	19.82	0.97
414.062500	0.31	18.97	0.94
417.968750	0.20	18.11	0.96
421.875000	-0.01	17.45	0.97
425.781250	-0.27	16.99	0.91
429.687500	-0.57	16.76	0.76
433.593750	-0.80	16.67	0.87
437.500000	-0.92	16.59	0.95
441.406250	-0.96	16.48	0.94
445.312500	-1.02	16.28	0.97
449.218750	-1.14	16.13	0.97
453.125000	-1.27	16.04	0.96
457.031250	-1.38	16.02	0.96
460.937500	-1.46	16.05	0.96
464.843750	-1.56	16.13	0.91
468.750000	-1.68	16.35	0.71
472.656250	-1.70	16.67	0.75
476.562500	-1.57	16.92	0.90
480.468750	-1.44	17.01	0.96
484.375000	-1.32	16.97	0.96
488.281250	-1.23	16.85	0.91
492.187500	-1.14	16.74	0.78
496.093750	-1.00	16.63	0.93
500.000000	-0.90	16.40	0.92
503.906250	-0.85	16.23	0.88
507.812500	-0.77	16.08	0.86
511.718750	-0.69	15.87	0.94
515.625000	-0.63	15.60	0.98
519.531250	-0.58	15.27	0.98
523.437500	-0.55	14.89	0.96
527.343750	-0.56	14.52	0.97
531.250000	-0.61	14.20	0.95
535.156250	-0.68	13.97	0.87
539.062500	-0.73	13.80	0.89
542.968750	-0.76	13.64	0.90
546.875000	-0.76	13.52	0.89
550.781250	-0.68	13.38	0.93
554.687500	-0.54	13.14	0.97
560.000000	-0.29	12.69	0.94
568.000000	-0.09	11.95	0.91
576.000000	0.17	10.92	0.94
584.000000	0.30	9.55	0.96
592.000000	0.19	8.15	0.98
600.000000	-0.15	7.06	0.96
608.000000	-0.61	6.28	0.95
616.000000	-1.14	5.99	0.83
624.000000	-1.69	6.27	0.84
632.000000	-2.09	6.63	0.88
640.000000	-2.28	7.19	0.93
648.000000	-2.34	7.72	0.97
656.000000	-2.39	8.26	0.96
664.000000	-2.42	8.99	0.83
672.000000	-2.29	9.79	0.85
680.000000	-2.10	10.30	0.88
688.000000	-1.96	10.56	0.94
696.000000	-1.93	10.57	0.97
704.000000	-1.99	10.48	0.97
712.000000	-2.07	10.38	0.93
720.000000	-2.16	10.40	0.92
728.000000	-2.28	10.33	0.94
736.000000	-2.48	10.32	0.94
744.000000	-2.72	10.59	0.82
752.000000	-2.91	11.06	0.96
760.000000	-3.06	11.49	0.97
768.000000	-3.15	11.98	0.96
776.000000	-3.14	12.47	0.95
784.000000	-3.05	12.85	0.90
792.000000	-2.90	13.15	0.93
800.000000	-2.78	13.33	0.98
808.000000	-2.71	13.48	0.98
816.000000	-2.62	13.65	0.97
824.000000	-2.55	13.82	0.93
832.000000	-2.47	14.01	0.96
840.000000	-2.38	14.15	0.96
848.000000	-2.28	14.24	0.95
856.000000	-2.17	14.24	0.97
864.000000	-2.07	14.25	0.93
872.000000	-1.96	14.33	0.88
880.000000	-1.80	14.32	0.87
888.000000	-1.65	14.21	0.88
896.000000	-1.49	14.15	0.93
904.000000	-1.32	14.06	0.94
912.000000	-1.15	14.06	0.74
920.000000	-0.92	14.06	0.93
928.000000	-0.72	13.80	0.96
936.000000	-0.57	13.40	0.95
944.000000	-0.45	12.89	0.94
952.000000	-0.38	12.37	0.93
960.000000	-0.31	11.81	0.97
968.000000	-0.26	11.15	0.95
976.000000	-0.30	10.38	0.86
984.000000	-0.47	9.66	0.79
992.000000	-0.68	9.21	0.85
1000.000000	-0.83	8.81	0.94
1008.000000	-0.98	8.47	0.96
1016.000000	-1.12	8.18	0.97
1024.000000	-1.24	7.91	0.96
1032.000000	-1.38	7.72	0.89
1040.000000	-1.47	7.58	0.77
1048.000000	-1.54	7.42	0.88
1056.000000	-1.66	7.24	0.93
1064.000000	-1.79	7.08	0.96
1072.000000	-1.94	6.86	0.98
1080.000000	-2.12	6.68	0.97
1088.000000	-2.35	6.59	0.95
1096.000000	-2.58	6.64	0.91
1104.000000	-2.81	6.75	0.94
1112.000000	-3.04	6.94	0.96
1120.000000	-3.24	7.22	0.96
1128.000000	-3.39	7.52	0.97
1136.000000	-3.52	7.83	0.96
1144.000000	-3.63	8.17	0.94
1152.000000	-3.70	8.52	0.96
1160.000000	-3.77	8.87	0.98
1168.000000	-3.86	9.22	0.97
1176.000000	-3.99	9.59	0.97
1184.000000	-4.15	10.03	0.97
1192.000000	-4.33	10.58	0.93
1200.000000	-4.51	11.24	0.94
1208.000000	-4.64	11.96	0.92
1216.000000	-4.72	12.71	0.85
1224.000000	-4.74	13.47	0.83
1232.000000	-4.71	14.20	0.86
1240.000000	-4.66	14.89	0.92
1248.000000	-4.61	15.54	0.92
1256.000000	-4.54	16.18	0.89
1264.000000	-4.45	16.80	0.89
1272.000000	-4.35	17.40	0.89
1280.000000	-4.20	17.93	0.91
1288.000000	-4.03	18.35	0.93
1296.000000	-3.88	18.68	0.97
1304.000000	-3.76	18.93	0.97
1312.000000	-3.66	19.15	0.97
1320.000000	-3.58	19.37	0.95
1328.000000	-3.48	19.61	0.96
1336.000000	-3.38	19.79	0.95
1344.000000	-3.31	19.92	0.96
1352.000000	-3.26	20.05	0.94
1360.000000	-3.21	20.22	0.89
1368.000000	-3.13	20.39	0.95
1376.000000	-3.04	20.49	0.96
1384.000000	-2.97	20.54	0.96
1392.000000	-2.94	20.59	0.89
1400.000000	-2.94	20.69	0.77
1408.000000	-2.91	20.79	0.92
1416.000000	-2.89	20.88	0.95
1424.000000	-2.85	20.95	0.95
1432.000000	-2.82	21.00	0.95
1440.000000	-2.80	21.08	0.95
1448.000000	-2.77	21.16	0.93
1456.000000	-2.73	21.26	0.82
1464.000000	-2.65	21.39	0.80
1472.000000	-2.55	21.44	0.87
1480.000000	-2.44	21.40	0.95
1488.000000	-2.36	21.31	0.97
1496.000000	-2.30	21.17	0.98
1504.000000	-2.26	21.01	0.98
1512.000000	-2.23	20.86	0.93
1520.000000	-2.22	20.75	0.90
1528.000000	-2.20	20.66	0.96
1536.000000	-2.19	20.54	0.97
1544.000000	-2.19	20.41	0.98
1552.000000	-2.23	20.27	0.92
1560.000000	-2.30	20.20	0.89
1568.000000	-2.37	20.18	0.95
1576.000000	-2.43	20.19	0.97
1584.000000	-2.46	20.22	0.93
1592.000000	-2.48	20.25	0.91
1600.000000	-2.47	20.27	0.94
1608.000000	-2.45	20.29	0.92
1616.000000	-2.42	20.31	0.93
1624.000000	-2.37	20.32	0.93
1632.000000	-2.30	20.30	0.92
1640.000000	-2.23	20.27	0.92
1648.000000	-2.16	20.18	0.95
1656.000000	-2.12	20.01	0.91
1664.000000	-2.12	19.81	0.94
1672.000000	-2.14	19.66	0.92
1680.000000	-2.17	19.57	0.90
1688.000000	-2.20	19.53	0.92
1696.000000	-2.21	19.52	0.91
1704.000000	-2.22	19.50	0.97
1712.000000	-2.23	19.47	0.90
1720.000000	-2.24	19.46	0.81
1728.000000	-2.23	19.44	0.93
1736.000000	-2.22	19.40	0.94
1744.000000	-2.22	19.31	0.97
1752.000000	-2.24	19.20	0.95
1760.000000	-2.28	19.11	0.93
1768.000000	-2.35	19.07	0.92
1776.000000	-2.40	19.08	0.86
1784.000000	-2.42	19.10	0.76
1792.000000	-2.41	19.11	0.88
1800.000000	-2.40	19.08	0.89
1808.000000	-2.39	19.01	0.86
1816.000000	-2.41	18.95	0.80
1824.000000	-2.42	18.91	0.93
1832.000000	-2.41	18.86	0.94
1840.000000	-2.40	18.80	0.94
1848.000000	-2.40	18.73	0.89
1856.000000	-2.39	18.66	0.87
1866.665649	-2.34	18.51	0.89
1893.332275	-2.27	18.27	0.87
1919.998901	-2.27	17.80	0.83
1946.665527	-2.43	17.80	0.75
1973.332153	-2.49	17.95	0.85
1999.998779	-2.47	17.99	0.83
2026.665405	-2.38	17.92	0.78
2053.332031	-2.36	17.96	0.73
2079.998779	-2.26	17.84	0.91
2106.665527	-2.25	17.44	0.93
2133.332275	-2.36	17.04	0.91
2159.999023	-2.42	16.78	0.79
2186.665771	-2.49	16.33	0.83
2213.332520	-2.61	15.84	0.85
2239.999268	-2.71	15.36	0.90
2266.666016	-2.81	14.88	0.88
2293.332764	-2.94	14.55	0.78
2319.999512	-3.02	14.45	0.80
2346.666260	-3.11	14.20	0.94
2373.333008	-3.29	13.88	0.93
2399.999756	-3.49	13.69	0.90
2426.666504	-3.64	13.51	0.96
2453.333252	-3.82	13.22	0.93
2480.000000	-4.09	13.00	0.93
2506.666748	-4.36	12.99	0.92
2533.333496	-4.59	13.14	0.89
2560.000244	-4.79	13.30	0.89
2586.666992	-4.95	13.42	0.92
2613.333740	-5.17	13.46	0.91
2640.000488	-5.43	13.74	0.89
2666.667236	-5.62	14.10	0.93
2693.333984	-5.80	14.47	0.88
2720.000732	-6.05	14.90	0.78
2746.667480	-6.27	15.52	0.78
2773.334229	-6.39	16.17	0.91
2800.000977	-6.46	16.86	0.91
2826.667725	-6.49	17.57	0.94
2853.334473	-6.52	18.23	0.93
2880.001221	-6.55	18.89	0.92
2906.667969	-6.56	19.56	0.90
2933.334717	-6.50	20.21	0.86
2960.001465	-6.51	20.71	0.72
2986.668213	-6.64	21.35	0.62
3013.334961	-6.68	22.01	0.84
3040.001709	-6.66	22.57	0.87
3066.668457	-6.72	23.08	0.91
3093.335205	-6.85	23.67	0.90
3120.001953	-6.94	24.25	0.90
3146.668701	-6.98	24.73	0.90
3173.335449	-7.02	25.19	0.89
3200.002197	-7.08	25.61	0.87
3226.668945	-7.14	25.99	0.84
3253.335693	-7.15	26.39	0.87
3280.002441	-7.15	26.70	0.80
3306.669189	-7.16	26.88	0.90
3333.335938	-7.24	27.05	0.94
3360.002686	-7.29	27.21	0.97
3386.669434	-7.34	27.29	0.97
3413.336182	-7.42	27.28	0.91
3440.002930	-7.55	27.24	0.83
3466.669678	-7.70	27.31	0.88
3493.336426	-7.82	27.38	0.92
3520.003174	-7.93	27.50	0.96
3546.669922	-8.04	27.64	0.97
3573.336670	-8.15	27.85	0.91
3600.003418	-8.23	28.09	0.86
3626.670166	-8.31	28.28	0.89
3653.336914	-8.42	28.48	0.87
3680.003662	-8.58	28.81	0.65
3706.670410	-8.80	29.37	0.34
3733.337158	-8.98	30.01	0.70
3760.003906	-9.17	30.76	0.76
3786.670654	-9.37	31.78	0.53
3813.337402	-9.53	33.06	0.27
3840.004150	-9.64	34.43	0.55
3866.670898	-9.73	35.74	0.73
3893.337646	-9.85	37.03	0.64
3920.004395	-10.00	38.36	0.59
3946.671143	-10.14	39.91	0.31
3973.337891	-10.23	41.40	0.53
4000.004639	-10.26	42.83	0.54
4026.671387	-10.27	44.23	0.40
4053.338135	-10.22	45.57	0.56
4080.004883	-10.12	46.79	0.78
4106.671387	-10.02	47.84	0.84
4133.337891	-9.94	48.78	0.78
4160.004395	-9.86	49.60	0.61
4186.670898	-9.80	50.32	0.83
4213.337402	-9.76	50.92	0.82
4240.003906	-9.74	51.53	0.77
4266.670410	-9.72	52.19	0.59
4293.336914	-9.66	52.86	0.71
4320.003418	-9.62	53.44	0.90
4346.669922	-9.60	53.94	0.91
4373.336426	-9.59	54.37	0.87
4400.002930	-9.57	54.78	0.90
4426.669434	-9.56	55.12	0.89
4453.335938	-9.59	55.39	0.89
4480.002441	-9.65	55.75	0.86
4506.668945	-9.72	56.25	0.78
4533.335449	-9.75	56.80	0.71
4560.001953	-9.75	57.33	0.87
4586.668457	-9.77	57.85	0.84
4613.334961	-9.81	58.46	0.62
4640.001465	-9.85	59.20	0.38
4666.667969	-9.90	60.03	0.73
4693.334473	-9.98	60.77	0.81
4720.000977	-10.08	61.66	0.78
4746.667480	-10.17	62.63	0.47
4773.333984	-10.24	63.68	0.50
4800.000488	-10.30	64.66	0.64
4826.666992	-10.35	65.70	0.41
4853.333496	-10.35	66.77	0.24
4880.000000	-10.31	67.77	0.56
4906.666504	-10.25	68.63	0.69
4933.333008	-10.20	69.49	0.61
4959.999512	-10.13	70.35	0.51
4986.666016	-10.04	71.21	0.68
5013.332520	-9.93	71.99	0.83
5039.999023	-9.83	72.69	0.65
5066.665527	-9.72	73.33	0.78
5093.332031	-9.60	73.88	0.86
5119.998535	-9.47	74.30	0.93
5146.665039	-9.34	74.56	0.86
5173.331543	-9.25	74.71	0.86
5199.998047	-9.15	74.84	0.72
5226.664551	-9.04	74.93	0.81
5253.331055	-8.96	74.85	0.90
5279.997559	-8.89	74.68	0.90
5306.664063	-8.82	74.47	0.84
5333.330566	-8.74	74.20	0.83
5359.997070	-8.67	73.86	0.90
5386.663574	-8.64	73.44	0.94
